jpath,kx_rad_per_um,ky_rad_per_um,frequency_order,frequency_GHz
9,7.068583471,0.000000000,18,18.411000
9,7.068583471,0.000000000,19,18.621000
9,7.068583471,0.000000000,20,18.921000
9,7.068583471,0.000000000,21,19.085000
9,7.068583471,0.000000000,22,19.552000
9,7.068583471,0.000000000,23,19.768000
9,7.068583471,0.000000000,24,19.790000
10,7.853981634,0.000000000,1,9.317200
10,7.853981634,0.000000000,2,10.194000
10,7.853981634,0.000000000,3,11.799000
10,7.853981634,0.000000000,4,12.723000
10,7.853981634,0.000000000,5,13.540000
10,7.853981634,0.000000000,6,13.700000
10,7.853981634,0.000000000,7,13.912000
10,7.853981634,0.000000000,8,14.052000
10,7.853981634,0.000000000,9,14.433000
10,7.853981634,0.000000000,10,14.524000
10,7.853981634,0.000000000,11,15.279000
10,7.853981634,0.000000000,12,15.630000
10,7.853981634,0.000000000,13,16.588000
10,7.853981634,0.000000000,14,16.699000
10,7.853981634,0.000000000,15,17.660000
10,7.853981634,0.000000000,16,17.930000
10,7.853981634,0.000000000,17,18.145000
10,7.853981634,0.000000000,18,18.409000
10,7.853981634,0.000000000,19,18.619000
10,7.853981634,0.000000000,20,18.889000
10,7.853981634,0.000000000,21,19.096000
10,7.853981634,0.000000000,22,19.606000
10,7.853981634,0.000000000,23,19.768000
10,7.853981634,0.000000000,24,19.809000
11,8.639379797,0.000000000,1,9.309500
11,8.639379797,0.000000000,2,10.194000
11,8.639379797,0.000000000,3,11.822000
11,8.639379797,0.000000000,4,12.672000
11,8.639379797,0.000000000,5,13.560000
11,8.639379797,0.000000000,6,13.712000
11,8.639379797,0.000000000,7,13.897000
11,8.639379797,0.000000000,8,14.039000
11,8.639379797,0.000000000,9,14.461000
11,8.639379797,0.000000000,10,14.522000
11,8.639379797,0.000000000,11,15.307000
11,8.639379797,0.000000000,12,15.607000
11,8.639379797,0.000000000,13,16.637000
11,8.639379797,0.000000000,14,16.654000
11,8.639379797,0.000000000,15,17.653000
11,8.639379797,0.000000000,16,17.872000
11,8.639379797,0.000000000,17,18.130000
11,8.639379797,0.000000000,18,18.409000
11,8.639379797,0.000000000,19,18.616000
11,8.639379797,0.000000000,20,18.862000
11,8.639379797,0.000000000,21,19.106000
11,8.639379797,0.000000000,22,19.615000
11,8.639379797,0.000000000,23,19.767000
11,8.639379797,0.000000000,24,19.879000
12,9.424777961,0.000000000,1,9.302600
12,9.424777961,0.000000000,2,10.195000
12,9.424777961,0.000000000,3,11.847000
12,9.424777961,0.000000000,4,12.621000
12,9.424777961,0.000000000,5,13.579000
12,9.424777961,0.000000000,6,13.724000
12,9.424777961,0.000000000,7,13.883000
12,9.424777961,0.000000000,8,14.025000
12,9.424777961,0.000000000,9,14.486000
12,9.424777961,0.000000000,10,14.520000
12,9.424777961,0.000000000,11,15.339000
12,9.424777961,0.000000000,12,15.586000
12,9.424777961,0.000000000,13,16.573000
12,9.424777961,0.000000000,14,16.720000
12,9.424777961,0.000000000,15,17.648000
12,9.424777961,0.000000000,16,17.809000
12,9.424777961,0.000000000,17,18.115000
12,9.424777961,0.000000000,18,18.409000
12,9.424777961,0.000000000,19,18.613000
12,9.424777961,0.000000000,20,18.840000
12,9.424777961,0.000000000,21,19.116000
12,9.424777961,0.000000000,22,19.600000
12,9.424777961,0.000000000,23,19.766000
12,9.424777961,0.000000000,24,19.978000
13,10.210176124,0.000000000,1,9.296300
13,10.210176124,0.000000000,2,10.195000
13,10.210176124,0.000000000,3,11.873000
13,10.210176124,0.000000000,4,12.572000
13,10.210176124,0.000000000,5,13.597000
13,10.210176124,0.000000000,6,13.737000
13,10.210176124,0.000000000,7,13.868000
13,10.210176124,0.000000000,8,14.011000
13,10.210176124,0.000000000,9,14.509000
13,10.210176124,0.000000000,10,14.518000
13,10.210176124,0.000000000,11,15.374000
13,10.210176124,0.000000000,12,15.567000
13,10.210176124,0.000000000,13,16.509000
13,10.210176124,0.000000000,14,16.788000
13,10.210176124,0.000000000,15,17.646000
13,10.210176124,0.000000000,16,17.742000
13,10.210176124,0.000000000,17,18.102000
13,10.210176124,0.000000000,18,18.409000
13,10.210176124,0.000000000,19,18.610000
13,10.210176124,0.000000000,20,18.822000
13,10.210176124,0.000000000,21,19.126000
13,10.210176124,0.000000000,22,19.578000
13,10.210176124,0.000000000,23,19.765000
13,10.210176124,0.000000000,24,20.088000
14,10.995574288,0.000000000,1,9.290800
14,10.995574288,0.000000000,2,10.196000
14,10.995574288,0.000000000,3,11.900000
14,10.995574288,0.000000000,4,12.525000
14,10.995574288,0.000000000,5,13.613000
14,10.995574288,0.000000000,6,13.751000
14,10.995574288,0.000000000,7,13.853000
14,10.995574288,0.000000000,8,13.995000
14,10.995574288,0.000000000,9,14.516000
14,10.995574288,0.000000000,10,14.528000
14,10.995574288,0.000000000,11,15.411000
14,10.995574288,0.000000000,12,15.551000
14,10.995574288,0.000000000,13,16.446000
14,10.995574288,0.000000000,14,16.857000
14,10.995574288,0.000000000,15,17.645000
14,10.995574288,0.000000000,16,17.673000
14,10.995574288,0.000000000,17,18.090000
14,10.995574288,0.000000000,18,18.409000
14,10.995574288,0.000000000,19,18.607000
14,10.995574288,0.000000000,20,18.808000
14,10.995574288,0.000000000,21,19.134000
14,10.995574288,0.000000000,22,19.556000
14,10.995574288,0.000000000,23,19.764000
14,10.995574288,0.000000000,24,20.203000
15,11.780972451,0.000000000,1,9.286000
15,11.780972451,0.000000000,2,10.196000
15,11.780972451,0.000000000,3,11.927000
15,11.780972451,0.000000000,4,12.481000
15,11.780972451,0.000000000,5,13.629000
15,11.780972451,0.000000000,6,13.764000
15,11.780972451,0.000000000,7,13.839000
15,11.780972451,0.000000000,8,13.979000
15,11.780972451,0.000000000,9,14.515000
15,11.780972451,0.000000000,10,14.545000
15,11.780972451,0.000000000,11,15.448000
15,11.780972451,0.000000000,12,15.538000
15,11.780972451,0.000000000,13,16.385000
15,11.780972451,0.000000000,14,16.927000
15,11.780972451,0.000000000,15,17.602000
15,11.780972451,0.000000000,16,17.645000
15,11.780972451,0.000000000,17,18.080000
15,11.780972451,0.000000000,18,18.410000
15,11.780972451,0.000000000,19,18.605000
15,11.780972451,0.000000000,20,18.798000
15,11.780972451,0.000000000,21,19.142000
15,11.780972451,0.000000000,22,19.536000
15,11.780972451,0.000000000,23,19.763000
15,11.780972451,0.000000000,24,20.321000
16,12.566370614,0.000000000,1,9.282000
16,12.566370614,0.000000000,2,10.196000
16,12.566370614,0.000000000,3,11.954000
16,12.566370614,0.000000000,4,12.441000
16,12.566370614,0.000000000,5,13.643000
16,12.566370614,0.000000000,6,13.778000
16,12.566370614,0.000000000,7,13.825000
16,12.566370614,0.000000000,8,13.964000
16,12.566370614,0.000000000,9,14.514000
16,12.566370614,0.000000000,10,14.558000
16,12.566370614,0.000000000,11,15.485000
16,12.566370614,0.000000000,12,15.527000
16,12.566370614,0.000000000,13,16.329000
16,12.566370614,0.000000000,14,16.998000
16,12.566370614,0.000000000,15,17.530000
16,12.566370614,0.000000000,16,17.646000
16,12.566370614,0.000000000,17,18.070000
16,12.566370614,0.000000000,18,18.410000
16,12.566370614,0.000000000,19,18.602000
16,12.566370614,0.000000000,20,18.790000
16,12.566370614,0.000000000,21,19.149000
16,12.566370614,0.000000000,22,19.518000
16,12.566370614,0.000000000,23,19.762000
16,12.566370614,0.000000000,24,20.439000
17,13.351768778,0.000000000,1,9.278800
17,13.351768778,0.000000000,2,10.196000
17,13.351768778,0.000000000,3,11.977000
17,13.351768778,0.000000000,4,12.406000
17,13.351768778,0.000000000,5,13.656000
17,13.351768778,0.000000000,6,13.790000
17,13.351768778,0.000000000,7,13.812000
17,13.351768778,0.000000000,8,13.949000
17,13.351768778,0.000000000,9,14.513000
17,13.351768778,0.000000000,10,14.569000
17,13.351768778,0.000000000,11,15.518000
17,13.351768778,0.000000000,12,15.519000
17,13.351768778,0.000000000,13,16.280000
17,13.351768778,0.000000000,14,17.069000
17,13.351768778,0.000000000,15,17.457000
17,13.351768778,0.000000000,16,17.647000
17,13.351768778,0.000000000,17,18.063000
17,13.351768778,0.000000000,18,18.411000
17,13.351768778,0.000000000,19,18.600000
17,13.351768778,0.000000000,20,18.784000
17,13.351768778,0.000000000,21,19.154000
17,13.351768778,0.000000000,22,19.505000
17,13.351768778,0.000000000,23,19.761000
17,13.351768778,0.000000000,24,20.555000
18,14.137166941,0.000000000,1,9.276300
18,14.137166941,0.000000000,2,10.196000
18,14.137166941,0.000000000,3,11.996000
18,14.137166941,0.000000000,4,12.379000
18,14.137166941,0.000000000,5,13.666000
18,14.137166941,0.000000000,6,13.800000
18,14.137166941,0.000000000,7,13.802000
18,14.137166941,0.000000000,8,13.935000
18,14.137166941,0.000000000,9,14.512000
18,14.137166941,0.000000000,10,14.576000
18,14.137166941,0.000000000,11,15.513000
18,14.137166941,0.000000000,12,15.544000
18,14.137166941,0.000000000,13,16.243000
18,14.137166941,0.000000000,14,17.140000
18,14.137166941,0.000000000,15,17.384000
18,14.137166941,0.000000000,16,17.648000
18,14.137166941,0.000000000,17,18.056000
18,14.137166941,0.000000000,18,18.411000
18,14.137166941,0.000000000,19,18.597000
18,14.137166941,0.000000000,20,18.780000
18,14.137166941,0.000000000,21,19.157000
18,14.137166941,0.000000000,22,19.496000
18,14.137166941,0.000000000,23,19.760000
18,14.137166941,0.000000000,24,20.665000
19,14.922565105,0.000000000,1,9.274600
19,14.922565105,0.000000000,2,10.195000
19,14.922565105,0.000000000,3,12.008000
19,14.922565105,0.000000000,4,12.363000
19,14.922565105,0.000000000,5,13.673000
19,14.922565105,0.000000000,6,13.792000
19,14.922565105,0.000000000,7,13.810000
19,14.922565105,0.000000000,8,13.925000
19,14.922565105,0.000000000,9,14.511000
19,14.922565105,0.000000000,10,14.580000
19,14.922565105,0.000000000,11,15.510000
19,14.922565105,0.000000000,12,15.560000
19,14.922565105,0.000000000,13,16.220000
19,14.922565105,0.000000000,14,17.206000
19,14.922565105,0.000000000,15,17.315000
19,14.922565105,0.000000000,16,17.649000
19,14.922565105,0.000000000,17,18.052000
19,14.922565105,0.000000000,18,18.411000
19,14.922565105,0.000000000,19,18.595000
19,14.922565105,0.000000000,20,18.778000
19,14.922565105,0.000000000,21,19.158000
19,14.922565105,0.000000000,22,19.492000
19,14.922565105,0.000000000,23,19.759000
19,14.922565105,0.000000000,24,20.753000
20,15.707963268,0.000000000,1,9.273700
20,15.707963268,0.000000000,2,10.195000
20,15.707963268,0.000000000,3,12.010000
20,15.707963268,0.000000000,4,12.358000
20,15.707963268,0.000000000,5,13.675000
20,15.707963268,0.000000000,6,13.788000
20,15.707963268,0.000000000,7,13.814000
20,15.707963268,0.000000000,8,13.919000
20,15.707963268,0.000000000,9,14.510000
20,15.707963268,0.000000000,10,14.581000
20,15.707963268,0.000000000,11,15.509000
20,15.707963268,0.000000000,12,15.563000
20,15.707963268,0.000000000,13,16.214000
20,15.707963268,0.000000000,14,17.214000
20,15.707963268,0.000000000,15,17.305000
20,15.707963268,0.000000000,16,17.649000
20,15.707963268,0.000000000,17,18.050000
20,15.707963268,0.000000000,18,18.411000
